Year,Country,Code,CPI value,Rank
1995,New Zealand,NZL,9.55,1
1995,Denmark,DNK,9.32,2
1995,Singapore,SGP,9.26,3
1995,Finland,FIN,9.12,4
1995,Canada,CAN,8.87,5
1995,Sweden,SWE,8.87,5
1995,Australia,AUS,8.8,7
1995,Switzerland,CHE,8.76,8
1995,Netherlands,NLD,8.69,9
1995,Norway,NOR,8.61,10
1995,Ireland,IRL,8.57,11
1995,United Kingdom,GBR,8.57,11
1995,Germany,DEU,8.14,13
1995,Chile,CHL,7.94,14
1995,USA,USA,7.79,15
1995,Austria,AUT,7.13,16
1995,Hong Kong,HKG,7.12,17
1995,France,FRA,7,18
1995,Belgium,BEL,6.85,19
1995,Luxembourg,LUX,6.85,19
1995,Japan,JPN,6.72,21
1995,South Africa,ZAF,5.62,22
1995,Portugal,PRT,5.56,23
1995,Malaysia,MYS,5.28,24
1995,Argentina,ARG,5.24,25
1995,Taiwan,TWN,5.08,26
1995,Spain,ESP,4.35,27
1995,South Korea,KOR,4.29,28
1995,Hungary,HUN,4.12,29
1995,Turkey,TUR,4.1,30
1995,Greece,GRC,4.04,31
1995,Colombia,COL,3.44,32
1995,Mexico,MEX,3.18,33
1995,Italy,ITA,2.99,34
1995,Thailand,THA,2.79,35
1995,India,IND,2.78,36
1995,Philippines,PHL,2.77,37
1995,Brazil,BRA,2.7,38
1995,Venezuela,VEN,2.66,39
1995,Pakistan,PAK,2.25,40
1995,China,CHN,2.16,41
1995,Indonesia,IDN,1.94,42
