Year,Country,Code,CPI value,Rank
1997,Denmark,DNK,9.94,1
1997,Finland,FIN,9.48,2
1997,Sweden,SWE,9.35,3
1997,New Zealand,NZL,9.23,4
1997,Canada,CAN,9.1,5
1997,Netherlands,NLD,9.03,6
1997,Norway,NOR,8.92,7
1997,Australia,AUS,8.86,8
1997,Singapore,SGP,8.66,9
1997,Luxemburg,LUX,8.61,10
1997,Switzerland,CHE,8.61,10
1997,Ireland,IRL,8.28,12
1997,Germany,DEU,8.23,13
1997,United Kingdom,GBR,8.22,14
1997,Israel,ISR,7.97,15
1997,USA,USA,7.61,16
1997,Austria,AUT,7.61,16
1997,Hong Kong,HKG,7.28,18
1997,Portugal,PRT,6.97,19
1997,France,FRA,6.66,20
1997,Japan,JPN,6.57,21
1997,Costa Rica,CRI,6.45,22
1997,Chile,CHL,6.05,23
1997,Spain,ESP,5.9,24
1997,Greece,GRC,5.35,25
1997,Belgium,BEL,5.25,26
1997,Czech Republic,CZE,5.2,27
1997,Hungary,HUN,5.18,28
1997,Poland,POL,5.08,29
1997,Italy,ITA,5.03,30
1997,Taiwan,TWN,5.02,31
1997,Malaysia,MYS,5.01,32
1997,South Africa,ZAF,4.95,33
1997,South Korea,KOR,4.29,34
1997,Uruguay,URY,4.14,35
1997,Brazil,BRA,3.56,36
1997,Romania,ROU,3.44,37
1997,Turkey,TUR,3.21,38
1997,Thailand,THA,3.06,39
1997,Philippines,PHL,3.05,40
1997,China,CHN,2.88,41
1997,Argentina,ARG,2.81,42
1997,Vietnam,VNM,2.79,43
1997,Venezuela,VEN,2.77,44
1997,India,IND,2.75,45
1997,Indonesia,IDN,2.72,46
1997,Mexico,MEX,2.66,47
1997,Pakistan,PAK,2.53,48
1997,Russia,RUS,2.27,49
1997,Colombia,COL,2.23,50
1997,Bolivia,BOL,2.05,51
1997,Nigeria,NGA,1.76,52
