Year,Country,Code,CPI value,Rank
2005,Iceland,ISL,9.7,1
2005,Finland,FIN,9.6,2
2005,New Zealand,NZL,9.6,2
2005,Denmark,DNK,9.5,4
2005,Singapore,SGP,9.4,5
2005,Sweden,SWE,9.2,6
2005,Switzerland,CHE,9.1,7
2005,Norway,NOR,8.9,8
2005,Australia,AUS,8.8,9
2005,Austria,AUT,8.7,10
2005,Netherlands,NLD,8.6,11
2005,United Kingdom,GBR,8.6,11
2005,Luxembourg,LUX,8.5,13
2005,Canada,CAN,8.4,14
2005,Hong Kong,HKG,8.3,15
2005,Germany,DEU,8.2,16
2005,USA,USA,7.6,17
2005,France,FRA,7.5,18
2005,Belgium,BEL,7.4,19
2005,Ireland,IRL,7.4,19
2005,Chile,CHL,7.3,21
2005,Japan,JPN,7.3,21
2005,Spain,ESP,7,23
2005,Barbados,BRB,6.9,24
2005,Malta,MLT,6.6,25
2005,Portugal,PRT,6.5,26
2005,Estonia,EST,6.4,27
2005,Israel,ISR,6.3,28
2005,Oman,OMN,6.3,28
2005,United Arab Emirates,ARE,6.2,30
2005,Slovenia,SVN,6.1,31
2005,Botswana,BWA,5.9,32
2005,Qatar,QAT,5.9,32
2005,Taiwan,TWN,5.9,32
2005,Uruguay,URY,5.9,32
2005,Bahrain,BHR,5.8,36
2005,Cyprus,CYP,5.7,37
2005,Jordan,JOR,5.7,37
2005,Malaysia,MYS,5.1,39
2005,Hungary,HUN,5,40
2005,Italy,ITA,5,40
2005,South Korea,KOR,5,40
2005,Tunisia,TUN,4.9,43
2005,Lithuania,LTU,4.8,44
2005,Kuwait,KWT,4.7,45
2005,South Africa,ZAF,4.5,46
2005,Czech Republic,CZE,4.3,47
2005,Greece,GRC,4.3,47
2005,Namibia,NAM,4.3,47
2005,Slovakia,SVK,4.3,47
2005,Costa Rica,CRI,4.2,51
2005,El Salvador,SLV,4.2,51
2005,Latvia,LVA,4.2,51
2005,Mauritius,MUS,4.2,51
2005,Bulgaria,BGR,4,55
2005,Colombia,COL,4,55
2005,Fiji,FJI,4,55
2005,Seychelles,SYC,4,55
2005,Cuba,CUB,3.8,59
2005,Thailand,THA,3.8,59
2005,Trinidad and Tobago,TTO,3.8,59
2005,Belize,BLZ,3.7,62
2005,Brazil,BRA,3.7,62
2005,Jamaica,JAM,3.6,64
2005,Ghana,GHA,3.5,65
2005,Mexico,MEX,3.5,65
2005,Panama,PAN,3.5,65
2005,Peru,PER,3.5,65
2005,Turkey,TUR,3.5,65
2005,Burkina Faso,BFA,3.4,70
2005,Croatia,HRV,3.4,70
2005,Egypt,EGY,3.4,70
2005,Lesotho,LSO,3.4,70
2005,Poland,POL,3.4,70
2005,Saudi Arabia,SAU,3.4,70
2005,Syria,SYR,3.4,70
2005,Laos,LAO,3.3,77
2005,China,CHN,3.2,78
2005,Morocco,MAR,3.2,78
2005,Senegal,SEN,3.2,78
2005,Sri Lanka,LKA,3.2,78
2005,Suriname,SUR,3.2,78
2005,Lebanon,LBN,3.1,83
2005,Rwanda,RWA,3.1,83
2005,Dominican Republic,DOM,3,85
2005,Mongolia,MNG,3,85
2005,Romania,ROU,3,85
2005,Armenia,ARM,2.9,88
2005,Benin,BEN,2.9,88
2005,Bosnia and Herzegovina,BIH,2.9,88
2005,Gabon,GAB,2.9,88
2005,India,IND,2.9,88
2005,Iran,IRN,2.9,88
2005,Mali,MLI,2.9,88
2005,Moldova,MDA,2.9,88
2005,Tanzania,TZA,2.9,88
2005,Algeria,DZA,2.8,97
2005,Argentina,ARG,2.8,97
2005,Madagascar,MDG,2.8,97
2005,Malawi,MWI,2.8,97
2005,Mozambique,MOZ,2.8,97
2005,Serbia and Montenegro,SRB & MNE,2.8,97
2005,Gambia,GMB,2.7,103
2005,Macedonia,MKD,2.7,103
2005,Swaziland,SWZ,2.7,103
2005,Yemen,YEM,2.7,103
2005,Belarus,BLR,2.6,107
2005,Eritrea,ERI,2.6,107
2005,Honduras,HND,2.6,107
2005,Kazakhstan,KAZ,2.6,107
2005,Nicaragua,NIC,2.6,107
2005,Palestine,PSE,2.6,107
2005,Ukraine,UKR,2.6,107
2005,Vietnam,VNM,2.6,107
2005,Zambia,ZMB,2.6,107
2005,Zimbabwe,ZWE,2.6,107
2005,Afghanistan,AFG,2.5,117
2005,Bolivia,BOL,2.5,117
2005,Ecuador,ECU,2.5,117
2005,Guatemala,GTM,2.5,117
2005,Guyana,GUY,2.5,117
2005,Libya,LBY,2.5,117
2005,Nepal,NPL,2.5,117
2005,Philippines,PHL,2.5,117
2005,Uganda,UGA,2.5,117
2005,Albania,ALB,2.4,126
2005,Niger,NER,2.4,126
2005,Russia,RUS,2.4,126
2005,Sierra Leone,SLE,2.4,126
2005,Burundi,BDI,2.3,130
2005,Cambodia,KHM,2.3,130
2005,"Congo, Republic of",COG,2.3,130
2005,Georgia,GEO,2.3,130
2005,Kyrgyzstan,KGZ,2.3,130
2005,Papua New Guinea,PNG,2.3,130
2005,Venezuela,VEN,2.3,130
2005,Azerbaijan,AZE,2.2,137
2005,Cameroon,CMR,2.2,137
2005,Ethiopia,ETH,2.2,137
2005,Indonesia,IDN,2.2,137
2005,Iraq,IRQ,2.2,137
2005,Liberia,LBR,2.2,137
2005,Uzbekistan,UZB,2.2,137
2005,"Congo, Democratic Republic",COD,2.1,144
2005,Kenya,KEN,2.1,144
2005,Pakistan,PAK,2.1,144
2005,Paraguay,PRY,2.1,144
2005,Somalia,SOM,2.1,144
2005,Sudan,SDN,2.1,144
2005,Tajikistan,TJK,2.1,144
2005,Angola,AGO,2,151
2005,Cote d'Ivoire,CIV,1.9,152
2005,Equatorial Guinea,GNQ,1.9,152
2005,Nigeria,NGA,1.9,152
2005,Haiti,HTI,1.8,155
2005,Myanmar,MMR,1.8,155
2005,Turkmenistan,TKM,1.8,155
2005,Bangladesh,BGD,1.7,158
2005,Chad,TCD,1.7,158
