Year,Country,Code,CPI value,Rank
2002,Finland,FIN,9.7,1
2002,Denmark,DNK,9.5,2
2002,New Zealand,NZL,9.5,2
2002,Iceland,ISL,9.4,4
2002,Singapore,SGP,9.3,5
2002,Sweden,SWE,9.3,5
2002,Canada,CAN,9,7
2002,Luxembourg,LUX,9,7
2002,Netherlands,NLD,9,7
2002,United Kingdom,GBR,8.7,10
2002,Australia,AUS,8.6,11
2002,Norway,NOR,8.5,12
2002,Switzerland,CHE,8.5,12
2002,Hong Kong,HKG,8.2,14
2002,Austria,AUT,7.8,15
2002,USA,USA,7.7,16
2002,Chile,CHL,7.5,17
2002,Germany,DEU,7.3,18
2002,Israel,ISR,7.3,18
2002,Belgium,BEL,7.1,20
2002,Japan,JPN,7.1,20
2002,Spain,ESP,7.1,20
2002,Ireland,IRL,6.9,23
2002,Botswana,BWA,6.4,24
2002,France,FRA,6.3,25
2002,Portugal,PRT,6.3,25
2002,Slovenia,SVN,6,27
2002,Namibia,NAM,5.7,28
2002,Estonia,EST,5.6,29
2002,Taiwan,TWN,5.6,29
2002,Italy,ITA,5.2,31
2002,Uruguay,URY,5.1,32
2002,Hungary,HUN,4.9,33
2002,Malaysia,MYS,4.9,33
2002,Trinidad & Tobago,TTO,4.9,33
2002,Belarus,BLR,4.8,36
2002,Lithuania,LTU,4.8,36
2002,South Africa,ZAF,4.8,36
2002,Tunisia,TUN,4.8,36
2002,Costa Rica,CRI,4.5,40
2002,Jordan,JOR,4.5,40
2002,Mauritius,MUS,4.5,40
2002,South Korea,KOR,4.5,40
2002,Greece,GRC,4.2,44
2002,Brazil,BRA,4,45
2002,Bulgaria,BGR,4,45
2002,Jamaica,JAM,4,45
2002,Peru,PER,4,45
2002,Poland,POL,4,45
2002,Ghana,GHA,3.9,50
2002,Croatia,HRV,3.8,51
2002,Czech Republic,CZE,3.7,52
2002,Latvia,LVA,3.7,52
2002,Morocco,MAR,3.7,52
2002,Slovak Republic,SVK,3.7,52
2002,Sri Lanka,LKA,3.7,52
2002,Colombia,COL,3.6,57
2002,Mexico,MEX,3.6,57
2002,China,CHN,3.5,59
2002,Dominican Rep.,DOM,3.5,59
2002,Ethiopia,ETH,3.5,59
2002,Egypt,EGY,3.4,62
2002,El Salvador,SLV,3.4,62
2002,Thailand,THA,3.2,64
2002,Turkey,TUR,3.2,64
2002,Senegal,SEN,3.1,66
2002,Panama,PAN,3,67
2002,Malawi,MWI,2.9,68
2002,Uzbekistan,UZB,2.9,68
2002,Argentina,ARG,2.8,70
2002,Cote d'Ivoire,CIV,2.7,71
2002,Honduras,HND,2.7,71
2002,India,IND,2.7,71
2002,Russia,RUS,2.7,71
2002,Tanzania,TZA,2.7,71
2002,Zimbabwe,ZWE,2.7,71
2002,Pakistan,PAK,2.6,77
2002,Philippines,PHL,2.6,77
2002,Romania,ROU,2.6,77
2002,Zambia,ZMB,2.6,77
2002,Albania,ALB,2.5,81
2002,Guatemala,GTM,2.5,81
2002,Nicaragua,NIC,2.5,81
2002,Venezuela,VEN,2.5,81
2002,Georgia,GEO,2.4,85
2002,Ukraine,UKR,2.4,85
2002,Vietnam,VNM,2.4,85
2002,Kazakhstan,KAZ,2.3,88
2002,Bolivia,BOL,2.2,89
2002,Cameroon,CMR,2.2,89
2002,Ecuador,ECU,2.2,89
2002,Haiti,HTI,2.2,89
2002,Moldova,MDA,2.1,93
2002,Uganda,UGA,2.1,93
2002,Azerbaijan,AZE,2,95
2002,Indonesia,IDN,1.9,96
2002,Kenya,KEN,1.9,96
2002,Angola,AGO,1.7,98
2002,Madagascar,MDG,1.7,98
2002,Paraguay,PRY,1.7,98
2002,Nigeria,NGA,1.6,101
2002,Bangladesh,BGD,1.2,102
