Year,Country,Code,CPI value,Rank
2000,Finland,FIN,10,1
2000,Denmark,DNK,9.8,2
2000,New Zealand,NZL,9.4,3
2000,Sweden,SWE,9.4,3
2000,Canada,CAN,9.2,5
2000,Iceland,ISL,9.1,6
2000,Norway,NOR,9.1,6
2000,Singapore,SGP,9.1,6
2000,Netherlands,NLD,8.9,9
2000,United Kingdom,GBR,8.7,10
2000,Luxembourg,LUX,8.6,11
2000,Switzerland,CHE,8.6,11
2000,Australia,AUS,8.3,13
2000,USA,USA,7.8,14
2000,Austria,AUT,7.7,15
2000,Hong Kong,HKG,7.7,15
2000,Germany,DEU,7.6,17
2000,Chile,CHL,7.4,18
2000,Ireland,IRL,7.2,19
2000,Spain,ESP,7,20
2000,France,FRA,6.7,21
2000,Israel,ISR,6.6,22
2000,Japan,JPN,6.4,23
2000,Portugal,PRT,6.4,23
2000,Belgium,BEL,6.1,25
2000,Botswana,BWA,6,26
2000,Estonia,EST,5.7,27
2000,Slovenia,SVN,5.5,28
2000,Taiwan,TWN,5.5,28
2000,Costa Rica,CRI,5.4,30
2000,Namibia,NAM,5.4,30
2000,Hungary,HUN,5.2,32
2000,Tunisia,TUN,5.2,32
2000,South Africa,ZAF,5,34
2000,Greece,GRC,4.9,35
2000,Malaysia,MYS,4.8,36
2000,Mauritius,MUS,4.7,37
2000,Morocco,MAR,4.7,37
2000,Italy,ITA,4.6,39
2000,Jordan,JOR,4.6,39
2000,Peru,PER,4.4,41
2000,Czech Republic,CZE,4.3,42
2000,Belarus,BLR,4.1,43
2000,El Salvador,SLV,4.1,43
2000,Lithuania,LTU,4.1,43
2000,Malawi,MWI,4.1,43
2000,Poland,POL,4.1,43
2000,South Korea,KOR,4,48
2000,Brazil,BRA,3.9,49
2000,Turkey,TUR,3.8,50
2000,Croatia,HRV,3.7,51
2000,Argentina,ARG,3.5,52
2000,Bulgaria,BGR,3.5,52
2000,Ghana,GHA,3.5,52
2000,Senegal,SEN,3.5,52
2000,Slovak Republic,SVK,3.5,52
2000,Latvia,LVA,3.4,57
2000,Zambia,ZMB,3.4,57
2000,Mexico,MEX,3.3,59
2000,Colombia,COL,3.2,60
2000,Ethiopia,ETH,3.2,60
2000,Thailand,THA,3.2,60
2000,China,CHN,3.1,63
2000,Egypt,EGY,3.1,63
2000,Burkina Faso,BFA,3,65
2000,Kazakhstan,KAZ,3,65
2000,Zimbabwe,ZWE,3,65
2000,Romania,ROU,2.9,68
2000,India,IND,2.8,69
2000,Philippines,PHL,2.8,69
2000,Bolivia,BOL,2.7,71
2000,C_te-d'Ivoire,CIV,2.7,71
2000,Venezuela,VEN,2.7,71
2000,Ecuador,ECU,2.6,74
2000,Moldova,MDA,2.6,74
2000,Armenia,ARM,2.5,76
2000,Tanzania,TZA,2.5,76
2000,Vietnam,VNM,2.5,76
2000,Uzbekistan,UZB,2.4,79
2000,Uganda,UGA,2.3,80
2000,Mozambique,MOZ,2.2,81
2000,Kenya,KEN,2.1,82
2000,Russia,RUS,2.1,82
2000,Cameroon,CMR,2,84
2000,Angola,AGO,1.7,85
2000,Indonesia,IDN,1.7,85
2000,Azerbaijan,AZE,1.5,87
2000,Ukraine,UKR,1.5,87
2000,Yugoslavia,MKD,1.3,89
2000,Nigeria,NGA,1.2,90
